,Price (Tỷ),Area (m2),Price Per m2 (tr/m2),Location,In-Out
277,4.5,54.0,83.33,hoàn kiếm,Quận
278,4.0,50.0,80.0,hà đông,Quận
279,5.9,50.0,118.0,long biên,Quận
280,2.95,38.0,77.63,hoàn kiếm,Quận
281,5.0,60.0,83.33,thanh xuân,Quận
282,3.65,41.0,89.02,hoàn kiếm,Quận
283,3.3,39.0,84.62,hoàn kiếm,Quận
284,3.1,30.0,103.33,hoàn kiếm,Quận
285,25.0,247.0,101.21,gia lâm,Huyện
286,5.0,30.0,166.67,ba đình,Quận
287,6.4,50.0,128.0,ba đình,Quận
288,8.0,40.0,200.0,hoàn kiếm,Quận
289,24.0,160.0,150.0,đống đa,Quận
290,8.5,50.0,170.0,hoàn kiếm,Quận
